"","fid","min","firstqu","median","mean","trirdqu","max","band"
"351","S2.16D_V2_028022_20220525_SCL",2,4,4,4.345,5,7,"SCL"
"352","S2.16D_V2_028022_20220509_SCL",2,4,4,4.291,5,10,"SCL"
"353","S2.16D_V2_028022_20220423_SCL",2,4,4,4.184,4,9,"SCL"
"354","S2.16D_V2_028022_20220407_SCL",1,4,4,4.213,4,10,"SCL"
"355","S2.16D_V2_028022_20220322_SCL",2,4,4,4.163,4,9,"SCL"
"356","S2.16D_V2_028022_20220306_SCL",1,4,4,4.789,5,10,"SCL"
"357","S2.16D_V2_028022_20220218_SCL",2,4,4,4.492,4,10,"SCL"
"358","S2.16D_V2_028022_20220202_SCL",1,7,9,7.576,9,10,"SCL"
"359","S2.16D_V2_028022_20220117_SCL",2,4,4,4.405,4,10,"SCL"
"360","S2.16D_V2_028022_20220101_SCL",1,4,5,6.313,9,10,"SCL"
