"","fid","min","firstqu","median","mean","trirdqu","max","band"
"123","S2.16D_V2_028022_20221203_B06",14,2522,3186,4079,4784,16907,"B06"
"124","S2.16D_V2_028022_20221117_B06",73,2233,2755,3212,3569,16028,"B06"
"125","S2.16D_V2_028022_20221101_B06",3,1962,2264,2323,2603,13722,"B06"
"126","S2.16D_V2_028022_20221016_B06",55,1963,2231,2276,2521,13807,"B06"
"127","S2.16D_V2_028022_20220930_B06",104,1913,2144,2147,2373,10242,"B06"
"128","S2.16D_V2_028022_20220914_B06",23,1795,2064,2111,2363,12068,"B06"
"129","S2.16D_V2_028022_20220829_B06",2,1749,2031,2115,2386,6738,"B06"
"130","S2.16D_V2_028022_20220813_B06",34,1686,1958,2029,2291,6764,"B06"
"131","S2.16D_V2_028022_20220728_B06",25,1587,1827,1875,2112,6551,"B06"
"132","S2.16D_V2_028022_20220712_B06",11,1529,1764,1796,2029,6532,"B06"
"133","S2.16D_V2_028022_20220626_B06",8,1538,1768,1797,2030,6492,"B06"
"134","S2.16D_V2_028022_20220610_B06",40,1560,1787,1814,2043,6645,"B06"
"135","S2.16D_V2_028022_20220525_B06",27,1629,1857,1897,2127,6839,"B06"
"136","S2.16D_V2_028022_20220509_B06",66,1677,1900,1950,2174,8036,"B06"
"137","S2.16D_V2_028022_20220423_B06",73,1783,2016,2089,2325,13390,"B06"
"138","S2.16D_V2_028022_20220407_B06",69,1897,2142,2210,2456,14225,"B06"
"139","S2.16D_V2_028022_20220322_B06",91,1894,2133,2194,2441,10437,"B06"
"140","S2.16D_V2_028022_20220306_B06",46,2137,2484,2729,2968,14714,"B06"
"141","S2.16D_V2_028022_20220218_B06",61,2098,2444,2600,2902,11601,"B06"
"142","S2.16D_V2_028022_20220202_B06",169,2900,5496,5991,8646,17633,"B06"
"143","S2.16D_V2_028022_20220117_B06",2,2107,2541,2777,3139,13091,"B06"
"144","S2.16D_V2_028022_20220101_B06",6,2573,3492,4069,5290,14956,"B06"
"145","S2.16D_V2_028022_20230101_B07",41,2467,2962,3246,3663,15438,"B07"
"146","S2.16D_V2_028022_20221219_B07",10,2810,3686,4330,5330,16264,"B07"
"147","S2.16D_V2_028022_20221203_B07",6,2819,3525,4249,4938,16668,"B07"
"148","S2.16D_V2_028022_20221117_B07",77,2476,3062,3419,3889,15934,"B07"
"149","S2.16D_V2_028022_20221101_B07",6,2211,2565,2628,2973,14102,"B07"
"150","S2.16D_V2_028022_20221016_B07",56,2184,2474,2520,2801,14043,"B07"
"151","S2.16D_V2_028022_20220930_B07",78,2141,2395,2404,2658,10221,"B07"
"152","S2.16D_V2_028022_20220914_B07",14,2002,2294,2341,2622,12686,"B07"
"153","S2.16D_V2_028022_20220829_B07",1,1968,2277,2347,2639,6602,"B07"
"154","S2.16D_V2_028022_20220813_B07",45,1903,2200,2257,2540,6599,"B07"
"155","S2.16D_V2_028022_20220728_B07",35,1788,2056,2094,2352,6392,"B07"
"156","S2.16D_V2_028022_20220712_B07",21,1745,2008,2031,2287,6387,"B07"
"157","S2.16D_V2_028022_20220626_B07",17,1750,2011,2032,2285,6356,"B07"
"158","S2.16D_V2_028022_20220610_B07",41,1769,2027,2050,2300,6369,"B07"
"159","S2.16D_V2_028022_20220525_B07",19,1854,2114,2156,2402,6715,"B07"
"160","S2.16D_V2_028022_20220509_B07",71,1913,2173,2235,2471,8753,"B07"
"161","S2.16D_V2_028022_20220423_B07",79,2047,2317,2413,2654,13096,"B07"
"162","S2.16D_V2_028022_20220407_B07",64,2217,2499,2580,2848,13812,"B07"
"163","S2.16D_V2_028022_20220322_B07",113,2186,2465,2547,2811,10706,"B07"
"164","S2.16D_V2_028022_20220306_B07",61,2434,2844,3067,3399,14539,"B07"
"165","S2.16D_V2_028022_20220218_B07",78,2424,2827,2982,3360,11603,"B07"
"166","S2.16D_V2_028022_20220202_B07",189,3272,5639,6028,8432,17270,"B07"
"167","S2.16D_V2_028022_20220117_B07",1,2451,2956,3220,3625,12630,"B07"
"168","S2.16D_V2_028022_20220101_B07",18,2958,3929,4388,5668,14601,"B07"
"169","S2.16D_V2_028022_20230101_B08",12,2394,2875,3147,3578,12800,"B08"
"170","S2.16D_V2_028022_20221219_B08",3,2704,3564,4180,5115,16152,"B08"
"171","S2.16D_V2_028022_20221203_B08",2,2727,3430,4159,4819,16210,"B08"
"172","S2.16D_V2_028022_20221117_B08",68,2432,3023,3374,3848,15985,"B08"
"173","S2.16D_V2_028022_20221101_B08",7,2146,2502,2569,2922,14428,"B08"
"174","S2.16D_V2_028022_20221016_B08",18,2205,2502,2556,2848,15254,"B08"
"175","S2.16D_V2_028022_20220930_B08",49,2196,2454,2469,2732,12794,"B08"
"176","S2.16D_V2_028022_20220914_B08",22,2024,2325,2376,2664,15282,"B08"
"177","S2.16D_V2_028022_20220829_B08",1,2071,2399,2469,2785,8780,"B08"
"178","S2.16D_V2_028022_20220813_B08",47,1983,2302,2363,2666,6919,"B08"
"179","S2.16D_V2_028022_20220728_B08",39,1849,2142,2184,2465,6505,"B08"
"180","S2.16D_V2_028022_20220712_B08",13,1827,2122,2151,2435,6941,"B08"
"181","S2.16D_V2_028022_20220626_B08",11,1842,2136,2162,2449,7569,"B08"
"182","S2.16D_V2_028022_20220610_B08",22,1819,2104,2130,2407,9520,"B08"
"183","S2.16D_V2_028022_20220525_B08",32,1919,2204,2251,2530,6627,"B08"
"184","S2.16D_V2_028022_20220509_B08",54,1994,2276,2342,2613,9403,"B08"
"185","S2.16D_V2_028022_20220423_B08",69,2062,2346,2445,2718,15624,"B08"
"186","S2.16D_V2_028022_20220407_B08",39,2203,2492,2573,2860,14107,"B08"
"187","S2.16D_V2_028022_20220322_B08",79,2186,2473,2561,2847,10254,"B08"
"188","S2.16D_V2_028022_20220306_B08",30,2446,2848,3044,3403,13246,"B08"
"189","S2.16D_V2_028022_20220218_B08",52,2408,2800,2950,3347,11000,"B08"
"190","S2.16D_V2_028022_20220202_B08",132,3185,5431,5895,8264,17112,"B08"
"191","S2.16D_V2_028022_20220117_B08",1,2409,2920,3170,3585,13118,"B08"
"192","S2.16D_V2_028022_20220101_B08",1,2902,3834,4257,5462,14084,"B08"
"193","S2.16D_V2_028022_20230101_B09",11,2663,3139,3650,3841,16115,"B09"
"194","S2.16D_V2_028022_20221219_B09",5,3110,4329,6158,8038,16067,"B09"
"195","S2.16D_V2_028022_20221203_B09",97,3136,4084,6543,9041,16463,"B09"
"196","S2.16D_V2_028022_20221117_B09",40,2745,3387,4857,5581,16031,"B09"
"197","S2.16D_V2_028022_20221101_B09",5,2380,2724,2836,3117,16190,"B09"
"198","S2.16D_V2_028022_20221016_B09",112,2430,2701,2781,3003,15711,"B09"
"199","S2.16D_V2_028022_20220930_B09",135,2382,2620,2613,2856,7080,"B09"
"200","S2.16D_V2_028022_20220914_B09",4,2263,2537,2580,2831,8600,"B09"
"201","S2.16D_V2_028022_20220829_B09",9,2271,2548,2618,2869,6758,"B09"
"202","S2.16D_V2_028022_20220813_B09",51,2193,2458,2517,2758,6316,"B09"
"203","S2.16D_V2_028022_20220728_B09",43,2080,2319,2352,2573,6070,"B09"
"204","S2.16D_V2_028022_20220712_B09",4,2034,2269,2285,2509,6111,"B09"
"205","S2.16D_V2_028022_20220626_B09",12,2042,2276,2289,2514,6553,"B09"
"206","S2.16D_V2_028022_20220610_B09",28,2056,2289,2300,2519,6309,"B09"
"207","S2.16D_V2_028022_20220525_B09",7,2144,2383,2414,2635,6375,"B09"
"208","S2.16D_V2_028022_20220509_B09",44,2189,2434,2481,2696,8134,"B09"
"209","S2.16D_V2_028022_20220423_B09",59,2309,2563,2650,2866,15539,"B09"
"210","S2.16D_V2_028022_20220407_B09",42,2464,2733,2825,3053,15641,"B09"
"211","S2.16D_V2_028022_20220322_B09",113,2437,2702,2768,3012,11244,"B09"
"212","S2.16D_V2_028022_20220306_B09",58,2686,3079,3506,3621,16139,"B09"
"213","S2.16D_V2_028022_20220218_B09",56,2670,3057,3341,3568,15550,"B09"
"214","S2.16D_V2_028022_20220202_B09",74,3700,9430,9775,15649,16895,"B09"
"215","S2.16D_V2_028022_20220117_B09",32,2686,3172,3743,3856,15531,"B09"
"216","S2.16D_V2_028022_20220101_B09",1,3267,4561,6268,8367,16084,"B09"
"217","S2.16D_V2_028022_20230101_B11",34,1870,2312,2435,2842,13199,"B11"
"218","S2.16D_V2_028022_20221219_B11",35,2094,2776,2949,3637,10168,"B11"
"219","S2.16D_V2_028022_20221203_B11",71,2300,3017,3220,4047,13036,"B11"
"220","S2.16D_V2_028022_20221117_B11",66,2130,2840,3007,3752,12831,"B11"
"221","S2.16D_V2_028022_20221101_B11",17,2089,2557,2690,3154,12874,"B11"
"222","S2.16D_V2_028022_20221016_B11",80,2347,2897,3031,3578,12928,"B11"
"223","S2.16D_V2_028022_20220930_B11",125,2323,2841,2926,3452,12454,"B11"
"224","S2.16D_V2_028022_20220914_B11",40,2410,2939,3018,3541,14118,"B11"
"225","S2.16D_V2_028022_20220829_B11",64,2395,2943,3035,3605,8461,"B11"
"226","S2.16D_V2_028022_20220813_B11",66,2285,2823,2913,3473,6607,"B11"
"227","S2.16D_V2_028022_20220728_B11",58,2048,2573,2652,3191,10407,"B11"
"228","S2.16D_V2_028022_20220712_B11",21,1917,2446,2503,3042,6260,"B11"
"229","S2.16D_V2_028022_20220626_B11",37,1855,2364,2413,2930,6220,"B11"
"230","S2.16D_V2_028022_20220610_B11",26,1812,2287,2337,2814,6166,"B11"
"231","S2.16D_V2_028022_20220525_B11",21,1759,2208,2263,2709,6198,"B11"
"232","S2.16D_V2_028022_20220509_B11",45,1717,2110,2176,2566,8769,"B11"
"233","S2.16D_V2_028022_20220423_B11",36,1725,2102,2186,2556,14260,"B11"
"234","S2.16D_V2_028022_20220407_B11",41,1775,2169,2291,2678,10134,"B11"
"235","S2.16D_V2_028022_20220322_B11",73,1736,2094,2219,2566,12315,"B11"
"236","S2.16D_V2_028022_20220306_B11",56,1900,2324,2541,2943,8793,"B11"
"237","S2.16D_V2_028022_20220218_B11",45,1874,2275,2437,2805,9316,"B11"
"238","S2.16D_V2_028022_20220202_B11",130,1962,2859,3111,4180,10790,"B11"
"239","S2.16D_V2_028022_20220117_B11",35,1809,2277,2394,2843,10198,"B11"
"240","S2.16D_V2_028022_20220101_B11",36,2110,2789,2958,3725,8877,"B11"
"241","S2.16D_V2_028022_20230101_B12",15,944,1285,1512,1733,15007,"B12"
"242","S2.16D_V2_028022_20221219_B12",38,1196,1791,2021,2670,8502,"B12"
"243","S2.16D_V2_028022_20221203_B12",74,1392,2130,2314,3152,14901,"B12"
"244","S2.16D_V2_028022_20221117_B12",52,1181,1858,2126,2831,14764,"B12"
"245","S2.16D_V2_028022_20221101_B12",8,1185,1624,1777,2184,14615,"B12"
"246","S2.16D_V2_028022_20221016_B12",77,1419,1944,2069,2601,14485,"B12"
"247","S2.16D_V2_028022_20220930_B12",106,1452,1968,2053,2592,13691,"B12"
"248","S2.16D_V2_028022_20220914_B12",47,1519,2000,2062,2570,14500,"B12"
"249","S2.16D_V2_028022_20220829_B12",68,1527,2007,2081,2642,8676,"B12"
"250","S2.16D_V2_028022_20220813_B12",63,1444,1920,1996,2537,9868,"B12"
"251","S2.16D_V2_028022_20220728_B12",40,1208,1665,1741,2225,11527,"B12"
"252","S2.16D_V2_028022_20220712_B12",18,1132,1612,1673,2162,8124,"B12"
"253","S2.16D_V2_028022_20220626_B12",24,1070,1525,1586,2043,6157,"B12"
"254","S2.16D_V2_028022_20220610_B12",18,986,1393,1460,1867,6528,"B12"
"255","S2.16D_V2_028022_20220525_B12",9,920,1295,1374,1739,11940,"B12"
"256","S2.16D_V2_028022_20220509_B12",32,890,1219,1313,1628,6555,"B12"
"257","S2.16D_V2_028022_20220423_B12",27,852,1166,1277,1564,10117,"B12"
"258","S2.16D_V2_028022_20220407_B12",21,887,1223,1377,1679,11359,"B12"
"259","S2.16D_V2_028022_20220322_B12",51,846,1144,1294,1559,13048,"B12"
"260","S2.16D_V2_028022_20220306_B12",44,960,1309,1617,1929,8484,"B12"
"261","S2.16D_V2_028022_20220218_B12",34,921,1236,1511,1752,9684,"B12"
"262","S2.16D_V2_028022_20220202_B12",93,1293,2282,2383,3336,8882,"B12"
"263","S2.16D_V2_028022_20220117_B12",21,897,1236,1466,1742,10350,"B12"
"264","S2.16D_V2_028022_20220101_B12",24,1149,1772,2055,2821,8486,"B12"
"265","S2.16D_V2_028022_20230101_B8A",27,2652,3154,3414,3861,15179,"B8A"
"266","S2.16D_V2_028022_20221219_B8A",3,2993,3867,4426,5408,16035,"B8A"
"267","S2.16D_V2_028022_20221203_B8A",7,3002,3716,4346,5024,16356,"B8A"
"268","S2.16D_V2_028022_20221117_B8A",61,2655,3263,3553,4073,15765,"B8A"
"269","S2.16D_V2_028022_20221101_B8A",4,2375,2751,2807,3182,13195,"B8A"
"270","S2.16D_V2_028022_20221016_B8A",37,2400,2699,2744,3040,12943,"B8A"
"271","S2.16D_V2_028022_20220930_B8A",42,2352,2617,2622,2891,9683,"B8A"
"272","S2.16D_V2_028022_20220914_B8A",11,2241,2548,2593,2884,12341,"B8A"
"273","S2.16D_V2_028022_20220829_B8A",4,2217,2534,2606,2899,6771,"B8A"
"274","S2.16D_V2_028022_20220813_B8A",36,2145,2452,2511,2795,6392,"B8A"
"275","S2.16D_V2_028022_20220728_B8A",31,2027,2308,2346,2612,7036,"B8A"
"276","S2.16D_V2_028022_20220712_B8A",23,1975,2254,2276,2545,6162,"B8A"
"277","S2.16D_V2_028022_20220626_B8A",19,1983,2257,2278,2546,6564,"B8A"
"278","S2.16D_V2_028022_20220610_B8A",33,2005,2278,2300,2565,6734,"B8A"
"279","S2.16D_V2_028022_20220525_B8A",32,2088,2362,2405,2670,6529,"B8A"
"280","S2.16D_V2_028022_20220509_B8A",52,2138,2411,2473,2727,9383,"B8A"
"281","S2.16D_V2_028022_20220423_B8A",72,2273,2556,2648,2915,12752,"B8A"
"282","S2.16D_V2_028022_20220407_B8A",51,2441,2737,2812,3105,13587,"B8A"
"283","S2.16D_V2_028022_20220322_B8A",88,2412,2701,2781,3063,10199,"B8A"
"284","S2.16D_V2_028022_20220306_B8A",26,2656,3078,3282,3654,14433,"B8A"
"285","S2.16D_V2_028022_20220218_B8A",56,2652,3059,3194,3605,11580,"B8A"
"286","S2.16D_V2_028022_20220202_B8A",147,3450,5610,5963,8194,16872,"B8A"
"287","S2.16D_V2_028022_20220117_B8A",12,2652,3174,3414,3851,12208,"B8A"
"288","S2.16D_V2_028022_20220101_B8A",1,3156,4111,4501,5716,14240,"B8A"
"289","S2.16D_V2_028022_20230101_NBR",-4853,2706,4126,4028,5533,9326,"NBR"
"290","S2.16D_V2_028022_20221219_NBR",-9154,2732,3708,3818,4861,9877,"NBR"
"291","S2.16D_V2_028022_20221203_NBR",-9058,1983,2910,3082,4157,9047,"NBR"
"292","S2.16D_V2_028022_20221117_NBR",-4224,1490,2525,2795,4008,8683,"NBR"
"293","S2.16D_V2_028022_20221101_NBR",-8850,786,2277,2440,4036,8335,"NBR"
"294","S2.16D_V2_028022_20221016_NBR",-7551,84,1247,1630,2948,7828,"NBR"
"295","S2.16D_V2_028022_20220930_NBR",-7165,-134,1062,1436,2750,7745,"NBR"
"296","S2.16D_V2_028022_20220914_NBR",-8103,22,949,1301,2277,8129,"NBR"
"297","S2.16D_V2_028022_20220829_NBR",-9436,111,945,1276,2124,8162,"NBR"
"298","S2.16D_V2_028022_20220813_NBR",-7690,109,983,1316,2225,8097,"NBR"
"299","S2.16D_V2_028022_20220728_NBR",-5664,318,1355,1683,2835,8201,"NBR"
"300","S2.16D_V2_028022_20220712_NBR",-6000,245,1422,1753,3068,8302,"NBR"
"301","S2.16D_V2_028022_20220626_NBR",-5283,482,1734,2010,3384,8361,"NBR"
"302","S2.16D_V2_028022_20220610_NBR",-3936,909,2229,2424,3860,8314,"NBR"
"303","S2.16D_V2_028022_20220525_NBR",-6796,1447,2803,2899,4378,8415,"NBR"
"304","S2.16D_V2_028022_20220509_NBR",-3571,1829,3187,3199,4678,8343,"NBR"
"305","S2.16D_V2_028022_20220423_NBR",-3652,2325,3699,3617,5126,8471,"NBR"
"306","S2.16D_V2_028022_20220407_NBR",-3890,2334,3750,3610,5141,8404,"NBR"
"307","S2.16D_V2_028022_20220322_NBR",-3653,2586,3999,3800,5327,8384,"NBR"
"308","S2.16D_V2_028022_20220306_NBR",-4090,2394,3906,3696,5165,8485,"NBR"
"309","S2.16D_V2_028022_20220218_NBR",-5034,2592,4139,3852,5429,9021,"NBR"
"310","S2.16D_V2_028022_20220202_NBR",-2859,3149,4329,4321,5519,9441,"NBR"
"311","S2.16D_V2_028022_20220117_NBR",-6235,2894,4316,4167,5680,8672,"NBR"
"312","S2.16D_V2_028022_20220101_NBR",-9473,2765,3841,3909,5124,8923,"NBR"
"313","S2.16D_V2_028022_20230101_NDVI",-8089,5008,6618,6127,7839,9792,"NDVI"
"314","S2.16D_V2_028022_20221219_NDVI",-9387,964,3362,3521,5891,9917,"NDVI"
"315","S2.16D_V2_028022_20221203_NDVI",-9828,855,3096,3271,5441,9732,"NDVI"
"316","S2.16D_V2_028022_20221117_NDVI",-6824,1604,4012,3935,6070,9621,"NDVI"
"317","S2.16D_V2_028022_20221101_NDVI",-9784,3553,5323,5180,6923,9512,"NDVI"
"318","S2.16D_V2_028022_20221016_NDVI",-6023,2650,4037,4247,5748,9243,"NDVI"
