Hectares,MUNIC_CD,MUNIC_NOME,Polo_Nome,Polo_Tipo,UF,UGRH_ID,UGRH_Nome,din_class,din_classF,latitude,longitude
92.33463224,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.140706110711557,-51.430853075611765
92.29602374,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-15.110652544296455,-51.43126733957409
130.13695154,5203807,Britânia,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.061114945204816,-51.356944078908356
23.99103052,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,SP,SEMIPERENE,-15.178563224870587,-51.424228060215626
87.02894316,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.202366739355748,-51.4176704084474
89.43211617,5212204,Jussara,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.211607878202107,-51.420491435999985
136.04894958,5203807,Britânia,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DLC,SAFRA DUPLA (LONGA),-15.370215841344974,-51.225329121822035
133.46968915,5203807,Britânia,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DLC,SAFRA DUPLA (LONGA),-15.36524096304039,-51.21430484320475
101.84050855,5203807,Britânia,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DLC,SAFRA DUPLA (LONGA),-15.354540885997247,-51.210964152725
89.58399269,5203807,Britânia,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DLC,SAFRA DUPLA (LONGA),-15.344841387452792,-51.20858855056871
80.99574172,5219258,Santa Fé de Goiás,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.513764059908302,-51.2332354227358
124.66637585,5202502,Aruanã,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.137122237326103,-50.89248499171962
166.18682286,5202502,Aruanã,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.111750067452792,-50.89244787290831
24.4359487,5202502,Aruanã,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.103626246571384,-50.88788226260107
86.31098412,5202502,Aruanã,,,GO,38,Tocantins-Araguaia,Indefinido,INDEFINIDO,-15.1005741534986,-50.89497195017785
167.59971532,5202502,Aruanã,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.159178521937955,-50.905154869789754
82.96472221,5212956,Matrinchã,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.229703762433921,-50.8199301432587
92.9845448,5212956,Matrinchã,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.300342575730411,-50.85141786962265
69.30337275,5212956,Matrinchã,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.302545605220974,-50.84195945373585
82.02497369,5212956,Matrinchã,Alto Araguaia,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.301802022609118,-50.86126122107003
77.22959473,5212956,Matrinchã,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.361721652997261,-50.77283603056867
34.42576576,5202155,Araguapaz,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.114478313118571,-50.61732207611309
29.23722381,5202155,Araguapaz,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.108745310423108,-50.62146471560106
47.06194409,5202155,Araguapaz,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.119555688940649,-50.621684678773526
